LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_7,5,7,66,8,0,0,0,5,118.541,0.0,118.541,39.55251897163334,102.07067214713875,101.31996806819875,0.0,0.3674734181351721,0.9845375949276715,0.05779479202046617,0.33371779108143546,0.18999772196354572,908.8787878787879,42.6059331576901,39.55251897163334,0.9283335920667274,0.3336610874856239,0.9079870026486906,0.26817388868229564
Track_10,7,10,59,2,0,0,0,1,91.18538461538462,0.0,91.18538461538462,41.09062357538367,48.14401459428308,76.56034002435347,0.0,0.6632127065507282,1.6606670737116993,0.06252775137855242,0.6476295263664066,0.3261678556080262,746.7457627118644,60.091293587996816,41.79694892263359,0.6838032786764884,0.45062729897671494,0.679461196273457,0.5225240509989174
Track_23,14,23,32,4,0,0,0,4,57.750743589743585,41.03342307692308,98.78416666666666,65.79125252874667,192.196725042156,165.7824952496735,0.0,1.2149710613627696,1.8219108804332425,0.38082992378888525,1.2846370998889,0.3114404478819034,1012.84375,70.13881101374233,65.79125252874667,0.9380149389167171,1.1392277993184328,0.9376583817894564,0.1993961596232677
Track_33,20,33,12,1,0,0,0,1,18.237076923076913,71.42855128205129,89.6656282051282,13.787872567497484,279.27596761304216,226.51923641319613,0.0,0.9582210917595203,1.5508629153194906,0.5107006779292392,0.9840158335158731,0.35532020285839605,869.75,17.813703595366132,13.787872567497484,0.7740037041530272,0.7560352256918171,0.7889987312881601,0.2476524591879347
Track_40,25,40,11,2,0,0,0,1,18.237076923076927,86.62611538461539,104.86319230769232,0.12493287802230946,211.37140664629035,171.1389886477877,0.0,0.16656684684531395,0.43694823792363385,0.0192320208696273,0.14931778137848328,0.1263999597864094,1177.090909090909,2.9504063994125014,1.0582517610724163,0.04234429468672067,0.006850488077078912,0.0411275605369463,0.6895263540865483
Track_184,46,184,11,10,0,0,0,9,106.38294871794872,0.0,106.38294871794872,110.05716298814903,275.2551136363636,14.842840909090905,0.0,1.1097507108000308,1.304622271253093,0.8184964259010431,1.166536887929812,0.17077225732325466,-1.0,119.4405149554682,110.05716298814903,0.9214391199601104,1.034537623881264,0.9322252410502672,0.018783531433191947
Track_185,47,185,6,5,0,0,0,10,65.34952564102564,53.19147435897436,118.541,46.98210962696333,173.27625,34.471250000000005,0.0,0.7827630189243249,0.9155376989157449,0.6738031941075882,0.7319690980252389,0.10702057065221773,-1.0,50.243887890500396,46.98210962696333,0.9350810934327841,0.7189357407893491,0.9184590015217027,0.02183639908167653
Track_186,48,186,8,7,0,0,0,16,118.541,0.0,118.541,1.4224714408380883,127.175625,233.30624999999998,0.0,0.06911649559415138,0.1025526934443789,0.0,0.07567002134282629,0.036118944291289194,-1.0,8.056298467418777,2.098553072952893,0.17656637804456188,0.011999826564969828,0.17361740438103535,0.0
