LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_4,4,4,58,1,0,0,0,1,119.59599999999999,0.0,119.59599999999999,0.2314502999050647,259.3499204831374,190.56478110297746,0.0,0.021235565773674407,0.050837779357398846,0.005132287475321485,0.0204483870230243,0.009338772854936428,673.0,2.5127236919540032,0.25775942282757086,0.09211132152977747,0.0019352679011427198,0.09113333366148685,1.0444391971721922
Track_5,5,5,59,0,0,0,0,0,119.59599999999999,0.0,119.59599999999999,0.19200386198557617,194.02006243990297,59.02163461392582,0.0,0.03881414111777643,0.09823088471573749,0.004769818921705509,0.032677753434826276,0.023802731290965072,668.1864406779661,4.642016021121586,0.2883695877882042,0.041362171330719566,0.0016054371549681944,0.04136217133071953,0.918846347328231
Track_9,7,9,59,0,0,0,0,0,119.59599999999999,0.0,119.59599999999999,0.20371467666862392,239.47704574979585,228.2589117557811,0.0,0.027499611041423556,0.06551372477641289,0.00528489314788834,0.027376926362904477,0.012830045147759222,940.4237288135594,3.2888434821100923,0.2755876537749534,0.06194112847775973,0.0017033569406052372,0.06194112847775975,0.9455281484241082
Track_18,15,18,59,0,0,0,0,0,119.59599999999999,0.0,119.59599999999999,0.20678268138250502,13.423505500784914,200.73415125907462,0.0,0.0229083706199909,0.04643141079287153,0.0036330151795853256,0.022934325353125343,0.009848496042405242,820.5593220338983,2.739749492668433,0.24666505475049877,0.07547503227424816,0.0017290100118942527,0.07547503227424822,0.9948899443841029
Track_20,17,20,59,0,0,0,0,0,119.59599999999999,0.0,119.59599999999999,7.947528417084415,39.86222311912206,210.15830264772228,0.0,0.08512970032987549,0.20531762117571592,0.008851477593486418,0.07780100549488428,0.049398375940533,768.3220338983051,10.181171640651785,7.999235437891973,0.7806103951092632,0.06645312901003726,0.780610395109263,0.42474581100030706
Track_28,24,28,59,0,0,0,0,0,119.59599999999999,0.0,119.59599999999999,3.75020010315412,127.57064154336848,202.2554093028856,0.0,0.04593298113536257,0.10863182493284591,0.005461930961649699,0.04737428002176058,0.024815739137720824,651.0169491525423,5.49340081186482,3.75020010315412,0.6826736718453749,0.031357236890482296,0.6826736718453748,0.5618517599918925
Track_29,25,29,59,0,0,0,0,0,119.59599999999999,0.0,119.59599999999999,0.1933479969167903,188.52599459659007,254.4494734633121,0.0,0.02017081891556965,0.047851932170321784,0.0023532534806963022,0.018505506055392203,0.009616265092208183,797.0,2.4123492590264672,0.2308480384583815,0.08014925541702789,0.0016166761172346092,0.08014925541702787,1.0466277625985947
