LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_0,0,0,81,0,0,0,0,0,118.53099999999999,0.0,118.53099999999999,8.089722219660818,96.34845645534332,71.04684831510662,0.0,0.08156697379468889,0.14818988238031855,0.02949340682063171,0.07811775229110983,0.030173613087609387,821.9382716049382,9.668214970858264,8.089722219660818,0.8367337966775349,0.068249843666727,0.8367337966775346,0.41490814963638245
Track_1,1,1,78,1,0,0,0,3,118.53099999999999,0.0,118.53099999999999,8.526159506824,74.7871922848556,44.257918406912815,0.0,0.08567631868482875,0.2698293632282111,0.01023505999966877,0.06972317339295787,0.059966247765957506,769.8205128205128,10.175181400592917,8.526159506824,0.8379368554871338,0.07193189551108149,0.8395773373000786,0.562093730608627
Track_2,2,2,47,1,0,0,0,1,69.6369625,0.0,69.6369625,18.119338627033763,194.72968848940937,76.97273316901955,0.0,0.2788002088159068,0.49060210597828174,0.09867869957737715,0.2731513746638481,0.09807938866789787,717.468085106383,19.247174093020995,18.119338627033763,0.9414025424960341,0.2601971421001277,0.9332745596038531,0.19259037960146747
Track_6,3,6,80,0,0,0,0,0,117.04936249999999,1.4816375,118.53099999999999,5.726729654359434,244.37835562222094,154.27168922978007,0.0,0.059913789383032046,0.15266397963566394,0.005409579017520479,0.059025165868651086,0.030805136588913817,839.9375,7.012870852243167,5.726729654359434,0.8166027544236976,0.04892576543814525,0.8166027544236975,0.673802138945232
Track_13,8,13,40,3,0,0,0,2,63.7104125,54.820587499999995,118.53099999999999,8.918874222515502,147.56098487688797,71.85672728603599,0.0,0.17765542722933828,0.5992921572164683,0.0423065463640432,0.1537162681675614,0.13092062553787506,670.85,10.785776853837765,8.918874222515502,0.8269106939053734,0.13999084094009753,0.7879907927573813,0.3256528531228038
Track_17,12,17,24,1,0,0,0,1,35.55929999999999,80.008425,115.567725,5.240971100148131,172.9696071592599,132.47065740111637,0.0,0.15431402915477938,0.3457786790454693,0.028067611031145998,0.14281850199795557,0.08450189410446787,818.4583333333334,5.5362179406617695,5.240971100148131,0.9466699389947885,0.14738679052028952,0.9551094694861365,0.290672201435114
