LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_5,3,5,81,0,0,0,0,0,118.99699999999999,0.0,118.99699999999999,27.18351646274766,93.346740930377,127.85882736469999,0.0,0.23220851257905445,0.35646780009067086,0.10067111354062905,0.2337538935892833,0.055842924351227646,1070.1234567901236,27.632116371369722,27.18351646274766,0.9837652714474355,0.22843867040973861,0.983765271447435,0.1304385754640457
Track_6,4,6,81,0,0,0,0,0,118.99699999999999,0.0,118.99699999999999,11.119251631446684,192.1663933221971,108.74951251166978,0.0,0.10308326785754605,0.4091792412718356,0.0028163092700585015,0.07977386188751334,0.07627142983752148,650.1111111111111,12.266599625244398,11.119251631446684,0.9064656849615849,0.09344144500656895,0.9064656849615843,0.4685368563333985
Track_10,7,10,81,0,0,0,0,0,118.99699999999999,0.0,118.99699999999999,24.781675083842583,98.52772070575037,19.5039271756672,0.0,0.2188685192498856,0.5762409009209317,0.015467096673220798,0.19503142708562074,0.1335574832658025,843.5432098765432,26.04469718517864,24.781675083842583,0.9515055946953066,0.20825462056894364,0.951505594695307,0.20634412680770087
Track_12,8,12,80,1,0,0,0,1,118.99699999999999,0.0,118.99699999999999,33.885692411214116,220.49729387160406,162.6407242459809,0.0,0.28917811319008224,0.47735400191196753,0.14592082058820507,0.28600886936298425,0.06824267230144634,905.325,34.4555927727068,33.885692411214116,0.9834598590350151,0.2847608965874276,0.98472492764433,0.10095784459166628
Track_19,15,19,53,1,0,0,0,2,80.32297499999999,38.674025,118.99699999999999,17.667973077369375,79.56527716402114,135.52160967032293,0.0,0.2240964764228065,0.30730367126113034,0.15158484554891316,0.22586307791801793,0.04290271839083829,748.6037735849056,17.784379009819656,17.667973077369375,0.993454596734246,0.21996163709535632,0.9815488427419585,0.09404624101567814
Track_27,23,27,32,2,0,0,0,2,50.573724999999996,44.623875,95.1976,12.1038172129719,217.02221087021198,63.192159455230076,0.0,0.25510568955206997,0.5379335565770035,0.08713581128870397,0.21617223022231652,0.13791553512138202,626.46875,12.603128523861617,12.1038172129719,0.9603819551673725,0.23933015044812106,0.9381607712017378,0.1840589114693737
Track_144,39,144,8,7,0,0,0,15,118.99699999999999,0.0,118.99699999999999,31.77373207541095,58.865624999999994,191.431875,0.0,0.26513290979024745,0.32914769819096806,0.08362665882569063,0.30253447093411223,0.08513949890137898,-1.0,32.35469620142883,31.77373207541095,0.9820439010645935,0.267012883311436,1.0070906833960216,0.01824657540758594
