LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_1,0,1,79,1,0,0,0,1,119.943,0.0,119.943,1.240490644195952,133.5180354290812,88.90516134905644,0.0,0.044968836980482256,0.09794479791365827,0.005815798716241744,0.04366619344854096,0.01978874342789437,853.8354430379746,5.339212916338182,1.240490644195952,0.2323358636626021,0.01034233464392213,0.22998892874216417,1.1607570690092437
Track_5,4,5,78,2,0,0,0,1,119.943,0.0,119.943,5.638203707219737,154.69207979504952,77.93985414800987,0.0,0.07257321145092029,0.22547516741130996,0.004595587531639419,0.06517555357460147,0.04193388991516001,768.5512820512821,8.72105731593606,5.682476263344872,0.6465046040824661,0.04700735938920768,0.6477232914103265,0.8334106848153633
Track_8,7,8,66,1,0,0,0,1,100.20554430379747,0.0,100.20554430379747,7.751875515871439,192.6499479266597,205.49491946873871,0.0,0.14301346317278701,0.6475788683804442,0.010841996603869893,0.11253017764779077,0.1229844743959145,750.1515151515151,14.130070499561281,7.751875515871439,0.5486084104189094,0.07735974660613333,0.5409263218293532,0.9040865384580506
Track_9,8,9,60,1,0,0,0,1,91.09594936708861,0.0,91.09594936708861,11.18496648015462,230.0273761999643,142.09224410009185,0.0,0.14851441332057813,0.40749846439354886,0.025233117687909108,0.12843457555033688,0.08567006522589515,993.0,13.514495974120516,11.18496648015462,0.8276273492976126,0.12278225934155042,0.8267363186933031,0.3677729145893238
Track_14,13,14,75,3,0,0,0,3,119.943,0.0,119.943,6.806765315876959,146.66834613846143,85.80358288553593,0.0,0.16501932639286832,2.7989110192857205,0.0049715022105563614,0.0834664772729962,0.44535179398384644,782.96,19.031163195031205,6.907762591262082,0.3576641767043498,0.05675000054923554,0.34389911648365645,0.716098750366949
Track_16,15,16,79,1,0,0,0,1,119.943,0.0,119.943,2.258452897018253,95.53640651440539,192.75999876977363,0.0,0.08566674565411472,0.3252443790985382,0.011011854588300306,0.07629162929623953,0.060290677454502686,784.126582278481,10.24470574384073,2.414236622932077,0.22045073362659234,0.018829384766249412,0.2197980630929337,0.99430373721384
Track_21,19,21,56,3,0,0,0,3,91.09594936708861,0.0,91.09594936708861,6.45777736467858,150.66175679527345,81.6319989536488,0.0,0.10482942977563532,0.2711111013702735,0.005415239812924532,0.08488741441921108,0.0650613286164594,701.3392857142857,9.531822165903987,6.484688866500776,0.6774966268022198,0.07088984098135612,0.6762398797082123,0.5153372489196483
Track_30,27,30,65,4,0,0,0,2,106.2786075949367,9.10959493670886,115.38820253164556,3.8173529875873826,295.7321575818809,144.70120417567892,0.0,0.11555528408859046,0.4785746203756077,0.0141729291372607,0.0839159897524043,0.09414440050626585,759.3230769230769,12.21508923949103,4.467973085114708,0.31251126477619096,0.03591835717434868,0.3108326673041786,0.7612608884257784
Track_129,55,129,8,7,0,0,0,17,119.943,0.0,119.943,31.741874944621646,50.58562499999999,93.75374999999998,0.0,0.3430396858380309,0.6654678829586909,0.09614191555818699,0.38991771020762744,0.20333047622182893,-1.0,40.017075906578704,31.741874944621646,0.7932082548641033,0.26464132916986943,0.7714598050757955,0.03983653791702413
Track_131,56,131,8,7,0,0,0,20,119.943,0.0,119.943,0.7714434522374249,165.4275,71.84625,0.0,0.047352883055467705,0.07415905370912448,0.0,0.05081082908277814,0.02718976590894771,-1.0,5.443848751805853,1.4637110370561486,0.14170920012822158,0.006431750516807358,0.13582595402424397,0.08410929162528906
