LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_3,3,3,81,0,0,0,0,0,119.15099999999998,0.0,119.15099999999998,26.036037733032153,95.3211576278495,226.63480536084774,0.0,0.22709009815852524,0.45839641135033754,0.02526391007843763,0.22478260338578954,0.09294050217767773,783.2962962962963,27.058012285686434,26.036037733032153,0.9622302428624847,0.21851296030274323,0.9622302428624847,0.21676528296211028
Track_4,4,4,59,0,0,0,0,0,86.384475,0.0,86.384475,28.14357617615332,97.99861647811518,74.27989633867186,0.0,0.3393265138263238,0.5162246719179447,0.12844612357176563,0.34337867369678127,0.08951585150752683,628.3728813559322,29.312542750467216,28.14357617615332,0.9601206014686234,0.32579437654918114,0.9601206014686234,0.21731774672579385
Track_6,6,6,80,1,0,0,0,1,119.15099999999998,0.0,119.15099999999998,18.033688546522555,271.33392665378267,55.59655178367548,0.0,0.18083511985152229,0.44001503157128596,0.03427199190243813,0.1771213779839876,0.07690114408739285,876.0375,21.677523182303844,18.033688546522555,0.8319072430398374,0.15135155010467857,0.8369588287327612,0.443646439237119
Track_9,7,9,80,1,0,0,0,1,119.15099999999998,0.0,119.15099999999998,20.430665184441047,140.89636849539082,36.086738689982155,0.0,0.18496909096798247,0.4179192059718655,0.03518629735986792,0.17732738325525188,0.07701831032976807,851.8875,22.16836129815271,20.481659739583904,0.9216136867159204,0.17146868414399416,0.9270126335522447,0.27550175992685294
Track_11,9,11,79,2,0,0,0,1,119.15099999999998,0.0,119.15099999999998,29.033688916638162,191.56969026423315,23.979925068071402,0.0,0.24421122197446654,0.4771186836104618,0.06530298256910402,0.23082161184383584,0.10638485804334297,625.5316455696203,29.50244328563552,29.033688916638162,0.9841113373404707,0.24367138267104907,0.9977894574252042,0.14867363440180695
Track_12,10,12,79,1,0,0,0,2,119.15099999999998,0.0,119.15099999999998,36.09721250088981,273.51684318696925,154.2792678810133,0.0,0.3359384074895579,0.8238698785141877,0.06408869124976914,0.3234834250875747,0.1302388363310795,848.2658227848101,39.87654897217997,36.12448484024594,0.9052240836104742,0.3029535001879113,0.9018126342023817,0.2227277267601917
Track_16,13,16,71,3,0,0,0,4,116.17222499999998,0.0,116.17222499999998,29.044328876048827,212.08674640413972,163.14824306312363,0.0,0.2639251812125515,0.40233331209728984,0.04324792204389792,0.2849485555716541,0.0682569249473777,688.0281690140845,29.66193996176399,29.044328876048827,0.9791783313393763,0.2500109546498643,0.9472796551706015,0.2004521350824582
Track_128,43,128,6,5,0,0,0,22,119.15099999999998,0.0,119.15099999999998,54.19904980716912,274.24625,123.65375,0.0,0.5235669492538529,0.6529303888182204,0.45321517785515636,0.5058096117623054,0.07692698530298821,-1.0,62.76910584387761,54.19904980716912,0.863466972780776,0.4548770031906499,0.8688038919166028,0.016713781575735935
