LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_9,8,9,81,1,0,0,0,1,119.08,0.0,119.08,23.279743776440043,80.97043540680386,112.64037079780222,0.0,0.2325366696087875,0.565122362532168,0.0048217018572408645,0.23025152227028964,0.13147414520979803,697.3333333333334,27.496512514092373,23.279743776440043,0.8466435066813955,0.1954966726271418,0.8407133075228064,0.33422326209865477
Track_21,19,21,39,2,0,0,0,3,61.74518518518518,0.0,61.74518518518518,10.435783641338814,86.9771677129869,110.27268682965116,0.0,0.1897969554003951,0.41340042614845085,0.05206502437536288,0.17962482760238216,0.08694088212193841,542.8717948717949,11.959929545941325,10.435783641338814,0.8725623007436746,0.1690137232569629,0.8904975472362665,0.28782155769042406
Track_25,23,25,79,1,0,0,0,1,116.13975308641974,0.0,116.13975308641974,52.7639701334466,40.459782243095574,227.20121763131925,0.0,0.8717620280622287,2.4995496065865304,0.020349860824378632,0.8736111370290155,0.6043687467463797,986.5696202531645,100.5031454647543,52.7639701334466,0.5249981967176394,0.4543144679684729,0.5211450525991971,0.3807633962767811
Track_28,26,28,82,0,0,0,0,0,119.08,0.0,119.08,4.937037240182367,150.12417104626348,134.5824614629832,0.0,0.18928674878261567,1.0639857738185083,0.02369907159140815,0.12741975493734695,0.18923739458503266,898.1829268292682,22.54026604503387,4.937037240182367,0.2190318974194232,0.041459835742209995,0.21903189741942314,1.0747122393042035
Track_29,27,29,66,0,0,0,0,0,95.55802469135801,14.701234567901233,110.25925925925925,13.703108364420736,100.92031325429487,239.91863180584957,0.0,0.2169018223159549,0.5239253934631889,0.05120920788383527,0.20573704072394358,0.10056190416503781,783.439393939394,20.726709692468564,13.872049852277248,0.6611328362166434,0.1434009169683057,0.6611328362166434,0.21498439165816888
Track_30,28,30,69,3,0,0,0,11,119.08,0.0,119.08,42.113357290146816,94.57861755488496,23.657627174131907,0.0,0.46504762661403315,1.4583195311528834,0.08843009725147467,0.4282355528536646,0.33319627136771873,1002.0434782608696,50.59119036046653,42.113357290146816,0.8324247164394744,0.3536560068033827,0.7604726625062426,0.3439552021983217
Track_36,32,36,82,0,0,0,0,0,119.08,0.0,119.08,23.2024617164299,86.25504709399095,113.76485966664886,0.0,0.21630736523035332,0.4750677174210942,0.028786294397472184,0.20943453104688664,0.1248451613859965,633.1463414634146,25.757881051630473,23.278581747516842,0.9007907781669481,0.19484767984909224,0.9007907781669482,0.31483846698156315
Track_44,40,44,11,0,0,0,0,0,14.701234567901233,0.0,14.701234567901233,9.29547821397608,105.25391680730228,76.29572093589907,0.0,2.6849164061279174,5.963376997442517,0.28945040488171325,2.4274425490969658,1.9437723795342428,606.6363636363636,39.47158588169289,13.514262178985986,0.23549796660912395,0.6322923541586014,0.23549796660912398,0.5265973179782595
Track_85,78,85,46,3,0,0,0,1,70.56592592592592,45.57382716049382,116.13975308641974,0.3479691089301507,14.330095916282284,214.91368688271075,0.0,0.22240962724731575,0.7200642868528775,0.017839634964820213,0.21508464375283526,0.125996485951316,456.7608695652174,15.378346672485165,0.68414708569816,0.022627211906513636,0.004931120854212541,0.022171346246308024,1.3372118925959011
