LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_1,1,1,59,0,0,0,0,0,119.65800000000002,0.0,119.65800000000002,2.6319482974012764,185.1071193906328,66.4530570097758,0.0,0.046874115031290256,0.14964311774231376,0.00578753409317842,0.03615180592433061,0.034147583162092085,640.271186440678,5.608862856414131,2.7227194879379613,0.4692481104955985,0.021995589909586288,0.46924811049559856,0.8231092710819401
Track_2,2,2,55,4,0,0,0,1,119.65800000000002,0.0,119.65800000000002,2.4077947094525314,242.62425763249138,238.99022364719977,0.0,0.08540269479910703,0.22349582847691238,0.020177256588517288,0.07035555101556261,0.05513333261624395,498.7818181818182,9.827976083620108,2.46108031864819,0.24499395287148754,0.02012230447987206,0.23561673934535446,0.897385454028244
Track_3,3,3,59,0,0,0,0,0,119.65800000000002,0.0,119.65800000000002,2.2901071450945456,349.22230209720465,43.91926175255933,0.0,0.027038209619785973,0.08042195616171328,0.00528928333167244,0.024115448291215646,0.016780038046874873,920.7118644067797,3.2353380866843517,2.2901071450945456,0.7078416795202691,0.019138771708490408,0.7078416795202694,0.6302795015359561
Track_6,4,6,58,1,0,0,0,1,119.65800000000002,0.0,119.65800000000002,2.443480238284518,333.3089326130244,47.116167454031526,0.0,0.03345776789408988,0.08570491701201348,0.006064532716368187,0.027687379128872206,0.020262040632092932,657.3965517241379,4.105011777251635,2.443480238284518,0.5952431736798728,0.020420533840483025,0.6103376024701933,0.7892059176604412
Track_7,5,7,58,1,0,0,0,1,119.65800000000002,0.0,119.65800000000002,2.350783274260559,280.62838532555713,140.73593908319597,0.0,0.032270616753465486,0.0889262799881223,0.0041681729672793325,0.02915332548723854,0.019593004200668635,772.6379310344828,3.849445888895793,2.3789761586902407,0.6106809504821685,0.01964585129502882,0.6087845003123185,0.764750806558508
Track_12,7,12,57,0,0,0,0,0,115.53186206896552,0.0,115.53186206896552,2.363476250432041,308.1697917628034,7.966495316226386,0.0,0.04240022744243048,0.1013476435338462,0.008128582746572674,0.04182608360762671,0.0210269031565267,549.578947368421,4.8985772285716465,2.363476250432041,0.4824821861839251,0.02045735443111952,0.48248218618392524,0.8912861914719519
Track_13,8,13,59,0,0,0,0,0,119.65800000000002,0.0,119.65800000000002,2.4653606563346644,15.88761109316729,247.91672784316373,0.0,0.037450276422603665,0.0907855841119607,0.0011163949535235552,0.03357634483611491,0.021004896601977522,716.9152542372881,4.48122517617591,2.4653606563346644,0.5501532637640183,0.020603391802760065,0.5501532637640182,0.7800780026874248
